Mail Subject,Mail Body,Problem Class
WIFI not working,"Dear Sir/Ma'am, The wifi in my room is not working. I live in Room 7 of SH-3. Please help me with this. Thanks, XYZ",1
WiFi Inaccessible,"Dear All, I can't access the wifi through my phone. Please help. With best regards, Adit",1
Wifi not working,"Dear Sir, I can't access the wifi from my laptop. Please help me fix this. Best, Himanshu",1
Wifi broken,"Dear Sir/Ma'am, The wifi has been very erratic on my device. I need this urgently. Please help me fix this. Regards, Deb",1
Internet not functioning,"My internet has not been working properly for the past few days. Please solve the issue. Thanking you, Jai",1
Clicker for lecture,"Dear All, Please provide a clicker from room no. 2 in the new academic block for Prof. Kothari's lecture starting at 5 PM. Best Regards, Vijay",3
Remote required,"We have a talk scheduled for 2 PM in AC-100. Please provide the projector remote for the same. Thanks, Ayush",3
Projector Remote for Lecture,"Dear All, We require a projector remote for a lecture at LR-106 starting at 10 PM. Please do the necessary. Regards, Mohit",3
Presentation Clicker required,"Dear All, We require a clicker for TR-106 from 7 PM. Please help us with this. Regards, Rohit",3
Remote for talk,"Hi, A talk will be held in AC-109  today, starting at 11 AM. Please provide a remote controller for the projector for the same. Thanks and regards, Hari",3
Projector not working,"Dear Sir/Ma'am, The projector in room no. 25 is not working. Please help us fix this at the earliest. Regards, Tom",4
Speakers broken,"Dear All, The speakers in TR-106 are not working. We will be having a lecture in this room in a few minutes. Please fix this issue asap. Regards, ABC",4
Mic required,"Dear Sir/Ma'am, We will be hosting a quiz competition in LR-205 from 10 PM for which we require a mic. Please do the necessary. Best, Jeet",4
Microphone required,"Dear Sir, The mic in room no. 230 is missing. Please provide us with a mic in this room as we have an event starting in the next hour. Best Regards, Alvin",4
Speakers not working,"Hello, The speakers seem to be broken in LT-106. Please solve this issue as soon as possible. Best regards, Dot",4
Projector Inaccessible,"Hi, We have an event scheduled for 6 PM in MR-101. We have been trying to connect the projector to our laptop for some time but have been failing. Please help us with this. Thanks and regards, Jeevan",4
Blocking ID Card,"Dear Sir/Ma'am, I lost my ID card the last Wednesday and have been unable to find it since. Please block my ID card till I find it or buy a new one. Thanking you, Sam",5
Lost ID,"Dear All, I seem to have lost my ID card and can't find it. Could you please check the transactions made from my ID card and block it if there have been any. Best regards, Shab",5
Lost ID Card,"Hello, I have misplaced my ID card and want to buy a new one. Where and when can I buy a new one ? Thanking you, Ghalib",5
New ID Card,"Greetings, I have lost my ID card and would like to issue a new one for myself. What procedure do I need to follow for the same ? Regards, Rumi",5
Wifi Login Details,"Dear Sir/Ma'am, I haven't received my WiFi login details. Please provide me with the details at the earliest. Regards, Mary",2
"Forgotten Login Details
","Dear All, I seem to have forgotten the password to my internet access account. Please help me reset my password for the same. Thanking you, Shourya",2
Incorrect Wifi Credentials,"Dear Sir/Ma'am, The WiFi details given to me during the orientation week don't seem to work. Please provide me with new details so that I can access my WiFi. Best, Jakka",2
Wifi Login Details,"Dear Sir/Ma'am, I do not remember the details to my WiFi account. Please provide me with new login details. Thankfully yours, Anchit Jain",2
WiFi Details,"I am not able to access the internet as I do not have my WiFi login details. Please provide me with the same. Thanking you, Gokul",2
Dysfunctional Rack PC,"Dear All, The Rack PC is not switching on in LR-105. Please fix this system at the earliest. Regards, OAA",4
Wifi Connection Lost,"Hi, I stay on the 6th floor of SH-2 residence. I have not been able to connect to the wifi for 2 hours now. Can you please help fix this asap.
Thank you
Gauri R",1
WIFI not connecting,"Dear Sir/ma'am, My laptop has not able to connect to the student wifi namely 'Ashoka Student' for some time now. Can you please help me fix this.
Thanks
Regards
Vinayak",1
Wifi Outage,"Hi, The wifi outage was scheduled for 4 hours from 10 AM to 2 PM, but the wifi is still down. It has been 3 hours since it was expected to have returned.
Please look into it.
Regards
Raghav",1
Wifi not appearing,"Dear IT, None of the wifi SSID's seem to be appearing while trying to connect. Is the wifi down? Please fix it as soon as possible.
Thank you
Heer Shah",1
Login details incorrect,"Hi, My login details are not working anymore. My old password gives the 'incorrect password' error. How can I get my old password changed?
Thanks
Shriya R",2
Internet Login Issue,"Dear Sir, My password keeps on getting changed everytime I change it. I think another person in my batch is using the same user ID. Is there a way I can get my login details changed?
Regards
Prabir Joy",2
Wifi login details,"IT, I am yet to recieve my login details to connect to the wifi. By when can I recieve it? Let me know as soon as possible.
Thanks
Astha G",2
Maximum login limit,"Sir/Madam, when I put in my login details, it gives me maximum login limit reached. I have a feeling someone else is also using my account. How can I change the password?
Thanks
Brijesh T",2
Clicker for class,"Hi, I need a clicker for the projector. My class begins at 4:30 pm today. When and where can I collect it?
Thanks
Damien C",3
Clicker not working,"Hi, The clicker provided in classroom AC-006 is not functioning. Please provide me another one.
Regards
Divij",3
Presentation remote not working,"Sir/Madam, The projector remote is not working. I suspect it is low on battery, where can I collect another one?
Regards
Sid",3
Projector Clicker missing,"Hi, I had requested for a projector clicker. The one provided has unfortunately gone missing. Where can I get another one? Let me know as soon as possible.
Regards
Sanchit B",3
Speakers not working,"Dear Sir/Ma'am, We had a movie screening as a part of course work, but the speakers in class don't seem to be working. Can you send someone over to check it out?
Many Thanks
Saddam",4
Projector not connecting,"Hi, The projector at classroom TR-104 is not connecting to the laptop. Can you please send someone over immediately.
Thank you
Anuja",4
Projector problems,"Hi, I was using the projector for my lecture. It was working just fine, but suddenly switched off. It is not turning back on. Can you send someone to look into it.
Regards
Jatin",4
Smartboard screen issues,"Dear Sir/Madam, The smart board in TR-203 is malfunctioning. Half the screen appears black. Hope to see someone fix this soon.
Thanks
Regards
Yashna",4
Lost ID card,"Hey, I lost my ID card 2 days ago. I am requesting you to block it for now until I get my new card issued.
Thanks
Regards
Shivangi",5
ID card not scanning,"Sir/Ma'am, My ID card stopped working a week back. It no longer gets scanned, I think the chip has worn off. Where can I get it replaced.
Regards
santosh",5
Misplaced ID card,"Hi, I have misplaced my ID card. Where can I procure a new ID card. I hope this is possible.
Thanks
Warm Regards
Ashutosh",5
Internet is not working,"Dear Sir, My Internet is not connecting to the public servers, but is working on private servers, what to do ? Thanks a lot , Vinayak",1
Internet very slow,"Dear Sir, I am near the Academic block and the wifi is really slow on downloading exe files, Please help. Regards, Yash",1
Wifi Adapter Issues,"Hello, The Wifi is not working here, I think the lights in the Adapter are not working, I am near the Mess. Yours Truly, Akhi",1
Ruckus Adapter Issue,"Hello , The Ruckus adapter has fallen down near the meeting room in 6th floor, Main Admin Building. Regards, Veera",1
Wifi Library Issue,"Hi, The Wifi is not connecting here in Library using Ubuntu, Help. Regards Deb",1
Login Portal not opening,"Hello, I tried logging in and it is not opening the portal, running linux on i5 processor. Regards, Dot",2
Captive Portal is not opening,"Hello, The portal does not load on the url provided, please help. Regards , Yasha",2
